rank,romaji_title,english_title,native_title,description,genres,tags,popularity,average_score,favourites,trending,chapters,volumes,format,status,source,start_date,end_date,external_links,semantic_text,word_count
2559,Nitian Xie Shen,Against the Gods,逆天邪神,"His meridians were destroyed. He was abandoned by his clan, mocked by the world as useless trash, and was murdered on the night of his wedding... but thanks to the Mirror of Samsara, his destiny was reversed and he was reborn into the world, filled with both hatred and regret. He swore that this time, he would reach the pinnacle of power! (Source: Wutopia Comics)","Action, Adventure, Ecchi, Fantasy","Full Color, Female Harem, Male Protagonist, Reincarnation, Super Power, Martial Arts, Cultivation, Swordplay, Historical, Wuxia",4100,68,130,0,,,MANGA,RELEASING,OTHER,2018-06-01,,MKZhan: https://www.mkzhan.com/213295/ | iQIYI: https://www.iqiyi.com/manhua/detail_18yzrmcpad.html | KakaoPage: https://page.kakao.com/home/55621949 | MangaToon: https://mangatoon.mobi/en/against-the-gods?content_id=38471 | MangaToon: https://mangatoon.mobi/cn/nghich-thien-ta-than?content_id=38471 | Naver Series: https://series.naver.com/comic/detail.series?productNo=5695099 | Zhiyin Manke: https://www.zymk.cn/2895/,"Nitian Xie Shen is a action  adventure  ecchi  fantasy manga. It includes themes like full color  female harem  male protagonist  reincarnation  super power  martial arts  cultivation  swordplay  historical  wuxia. His meridians were destroyed. He was abandoned by his clan, mocked by the world as useless trash, and was murdered on the night of his wedding... but thanks to the Mirror of Samsara, his destiny was reversed and he was reborn into the world, filled with both hatred and regret. He swore that this time, he would reach the pinnacle of power! ( Also known as: Against the Gods. Also known as: 逆天邪神.",102
2567,Jeontujongjogeuro Hwansaenghan Naui Gongmuwon Saenghwalgi,My Civil Servant Life Reborn in the Strange World,전투종족으로 환생한 나의 공무원 생활기,"Den made a promise to his mother on her deathbed that he would find a respectable job. And he almost kept that promise… until truck-kun sent him to a new world. Den is reborn as one of the most powerful magic users and is next in line to be chief of the fearsome Crow Tribe. But Den intends to keep his promise and runs off to the capital to become a civil servant. With a cast of colorful roommates, a family hunting him down, and a shadowy plot to overthrow the empire, can Den actually achieve his simple life goal? (Source: Tapas)","Action, Adventure, Comedy, Fantasy","Male Protagonist, Reincarnation, Full Color, Magic",4091,60,39,0,,,MANGA,RELEASING,OTHER,2022-02-28,,KakaoPage: https://page.kakao.com/home?seriesId=58870225 | Tapas: https://tapas.io/series/my-civil-servant-life-reborn-in-the-strange-world,"Jeontujongjogeuro Hwansaenghan Naui Gongmuwon Saenghwalgi is a action  adventure  comedy  fantasy manga. It includes themes like male protagonist  reincarnation  full color  magic. Den made a promise to his mother on her deathbed that he would find a respectable job. And he almost kept that promise… until truck-kun sent him to a new world. Den is reborn as one of the most powerful magic users and is next in line to be chief of the fearsome Crow Tribe. But Den intends to keep his promise and runs off to the capital to become a civil servant. With a cast of colorful roommates, a family hunting him down, and a shadowy plot to overthrow the empire, can Den actually achieve his simple life goal? ( Also known as: My Civil Servant Life Reborn in the Strange World. Also known as: 전투종족으로 환생한 나의 공무원 생활기.",143
2568,Gangcheoreul Meongneun Player,Steel-Eating Player,강철을 먹는 플레이어,"Steel Emperor Hyeonuk Lee, the last savior of humanity, has died. The place he returned to in order to change the future is... the military?!! Why here of all places?! Corporal Hyeonuk Lee's steel eating show begins as he rapidly grows to get revenge! (Source: WEBTOONS)","Action, Drama, Fantasy","Full Color, Male Protagonist, Military, Primarily Adult Cast, Urban Fantasy, Super Power, Long Strip",4089,66,75,2,,,MANGA,RELEASING,OTHER,2023-08-29,,Naver Webtoon: https://comic.naver.com/webtoon/list?titleId=814421 | Naver Series: https://series.naver.com/comic/detail.series?productNo=10089767 | Dongman Manhua: https://www.dongmanmanhua.cn/BOY/tunshigangtiedewanjia/list?title_no=2679 | Webtoons: https://www.webtoons.com/en/action/steel-eating-player/list?title_no=5966 | Webtoons: https://www.webtoons.com/zh-hant/fantasy/steel-eating-player/list?title_no=5938 | Webtoons: https://www.webtoons.com/fr/action/steel-eating-player/list?title_no=6501 | Webtoons: https://www.webtoons.com/th/fantasy/steel-eating-player/list?title_no=6199,"Gangcheoreul Meongneun Player is a action  drama  fantasy manga. It includes themes like full color  male protagonist  military  primarily adult cast  urban fantasy  super power  long strip. Steel Emperor Hyeonuk Lee, the last savior of humanity, has died. The place he returned to in order to change the future is... the military?!! Why here of all places?! Corporal Hyeonuk Lee's steel eating show begins as he rapidly grows to get revenge! ( Also known as: Steel-Eating Player. Also known as: 강철을 먹는 플레이어.",83
2580,Hoegwihaetdeoni Gongjak,Returned as the Duke,회귀했더니 공작,"Consumed by the flames of a burning castle, an aged butler is reincarnated as the younger version of his incompetent master, Duke Aaron of Brahn. Suddenly finding himself in a position of real power, equipped with his past expertise in estate management, the “new” duke sets out to rule Brahn the “right” way. Will the young Duke Aaron be able to save Brahn and its people from destruction at the hands of his uncle, the evil Emperor Zeron? How will he balance being an effective leader with the ruthlessness required to survive? Only time will tell! (Source: Tapas)","Action, Adventure, Fantasy","Age Regression, Full Color, Male Protagonist",4071,62,61,1,130.0,,MANGA,FINISHED,OTHER,2022-04-24,2024-09-28,KakaoPage: https://page.kakao.com/home?seriesId=59262003 | Tapas: https://tapas.io/series/returned-as-the-duke,"Hoegwihaetdeoni Gongjak is a action  adventure  fantasy manga. It includes themes like age regression  full color  male protagonist. Consumed by the flames of a burning castle, an aged butler is reincarnated as the younger version of his incompetent master, Duke Aaron of Brahn. Suddenly finding himself in a position of real power, equipped with his past expertise in estate management, the “new” duke sets out to rule Brahn the “right” way. Will the young Duke Aaron be able to save Brahn and its people from destruction at the hands of his uncle, the evil Emperor Zeron? How will he balance being an effective leader with the ruthlessness required to survive? Only time will tell! ( Also known as: Returned as the Duke. Also known as: 회귀했더니 공작.",127
2607,Gunggwigeomsin 1-bu,,궁귀검신 1부,"The bow is a weapon that dominates everything in sight, even for targets hiding at distances too far for the eyes to see. Just imagine a weapon you cannot even see targeting your life. What could possibly be scarier than that? A training regime from hell with a brutal grandfather. A joyful trip to Zhongyuan in search of a wife. The rise of a hero who will overturn the Murim world. Ki Guided Arrow - a fresh take on Ki Guidance that is stronger than both the Ki Guided Sword and Blade! Fire the arrow into tomorrow!(Source: KakaoPage, translated) Note: Chapter count includes 8 side stories.","Action, Adventure, Fantasy","Tragedy, Martial Arts, Archery, Full Color, Wuxia",4036,68,76,0,147.0,,MANGA,FINISHED,OTHER,2020-09-17,2022-05-16,KakaoPage: https://page.kakao.com/content/55581051 | Piccoma: https://jp.piccoma.com/web/product/82027 | Mootoon: https://www.mootoon.co.kr/comic/moo_list.mg?tcode=ga8n,"Gunggwigeomsin 1-bu is a action  adventure  fantasy manga. It includes themes like tragedy  martial arts  archery  full color  wuxia. The bow is a weapon that dominates everything in sight, even for targets hiding at distances too far for the eyes to see. Just imagine a weapon you cannot even see targeting your life. What could possibly be scarier than that? A training regime from hell with a brutal grandfather. A joyful trip to Zhongyuan in search of a wife. The rise of a hero who will overturn the Murim world. Ki Guided Arrow - a fresh take on Ki Guidance that is stronger than both the Ki Guided Sword and Blade! Fire the arrow into tomorrow!( Also known as: nan. Also known as: 궁귀검신 1부.",125
2608,Heunhan Hwansaengnyeoui Sajeong,A Common Story of a Lady's New Life,흔한 환생녀의 사정,"Valerie thought she’d be a genius mage in this world. But when her magic can’t get past basic and her teacher shares a prophecy of a tiger coming to attack(!!), she opts to enjoy an ordinary life. Everything’s fine until she’s engaged to none other than Duke Kylus Dwello. It’s just one thing after another—the mysterious Serena, the servants who ship the duke and Serena, a prince who doesn’t understand boundaries, and even the duke looming over her bed! Can she get back to her nice, quiet life? (Source: Tapas)","Comedy, Fantasy, Romance","Female Protagonist, Heterosexual, Reincarnation, Full Color, Arranged Marriage, Magic, Isekai, Royal Affairs",4036,68,73,0,106.0,,MANGA,FINISHED,OTHER,2020-03-21,2022-07-08,Kakao Webtoon: https://webtoon.kakao.com/content/%ED%9D%94%ED%95%9C-%ED%99%98%EC%83%9D%EB%85%80%EC%9D%98-%EC%82%AC%EC%A0%95/1928 | KakaoPage: https://page.kakao.com/home/흔한-환생녀의-사정/54748023 | Tapas: https://tapas.io/series/a-common-story-of-a-ladys-new-life,"Heunhan Hwansaengnyeoui Sajeong is a comedy  fantasy  romance manga. It includes themes like female protagonist  heterosexual  reincarnation  full color  arranged marriage  magic  isekai  royal affairs. Valerie thought she’d be a genius mage in this world. But when her magic can’t get past basic and her teacher shares a prophecy of a tiger coming to attack(!!), she opts to enjoy an ordinary life. Everything’s fine until she’s engaged to none other than Duke Kylus Dwello. It’s just one thing after another—the mysterious Serena, the servants who ship the duke and Serena, a prince who doesn’t understand boundaries, and even the duke looming over her bed! Can she get back to her nice, quiet life? ( Also known as: A Common Story of a Lady's New Life. Also known as: 흔한 환생녀의 사정.",131
2610,Pokgunui Yuilhan Johyangsaga Doeeotseumnida,The Tyrant's Only Perfumer,폭군의 유일한 조향사가 되었습니다,"A young woman sick with an incurable illness closes her eyes for the last time, only to wake up as Ariel Winston, an antagonist of the novel she had loved reading before her death. Knowing that death lies before her if she continues down the path the real Ariel has been going towards, she quickly breaks up with Duke Cedric Evans, who is not only the protagonist of the novel, but a man who is cursed with a condition which causes him to become bloodthirsty when he does not smell a specific scent constantly. However, Cedric, who had been forced to date Ariel due to her status as his personal perfumer, suddenly seems reluctant to distance himself from her. Just what is wrong with this man, and how will this change the events of the novel? Will Ariel be able to live the life she wants? (Source: Copin Comics)","Fantasy, Romance","Isekai, Primarily Adult Cast, Heterosexual, Reincarnation, Full Color, Villainess, Female Protagonist",4035,68,76,0,90.0,,MANGA,FINISHED,OTHER,2021-07-14,2023-04-26,Lezhin: https://www.lezhinus.com/en/comic/thetyrantsonlyperfumer | KakaoPage: https://page.kakao.com/home?seriesId=57333037 | Tappytoon: https://www.tappytoon.com/en/book/the-tyrants-only-perfumer | Tapas: https://tapas.io/series/the-tyrants-only-perfumer-comic/info | Webtoons: https://www.webtoons.com/fr/fantasy/unique-parfumeuse-du-tyran/list?title_no=3892 | Webtoons: https://www.webtoons.com/de/fantasy/unique-parfumeuse-du-tyran/list?title_no=4095 | Webtoons: https://www.webtoons.com/es/romance/unique-parfumeuse-du-tyran/list?title_no=4982 | Lalatoon: https://lalatoon.com/en/webtoon/episode/toon/6904,"Pokgunui Yuilhan Johyangsaga Doeeotseumnida is a fantasy  romance manga. It includes themes like isekai  primarily adult cast  heterosexual  reincarnation  full color  villainess  female protagonist. A young woman sick with an incurable illness closes her eyes for the last time, only to wake up as Ariel Winston, an antagonist of the novel she had loved reading before her death. Knowing that death lies before her if she continues down the path the real Ariel has been going towards, she quickly breaks up with Duke Cedric Evans, who is not only the protagonist of the novel, but a man who is cursed with a condition which causes him to become bloodthirsty when he does not smell a specific scent constantly. However, Cedric, who had been forced to date Ariel due to her status as his personal perfumer, suddenly seems reluctant to distance himself from her. Just what is wrong with this man, and how will this change the events of the novel? Will Ariel be able to live the life she wants? ( Also known as: The Tyrant's Only Perfumer. Also known as: 폭군의 유일한 조향사가 되었습니다.",185
2616,Ling Jian Zun,Master of Spiritual Sword,灵剑尊,"Set up and killed by his best buddy, a top-notch swordsman wakes up finding himself turned back into his teenage self.Restarting again from the weakling bullied by all, he is determined to seek revenge and cherish the girl who once sacrificed her life for him. (Source: Mangatoon)","Action, Adventure, Fantasy, Romance","Cultivation, Male Protagonist, Full Color, Time Manipulation, Swordplay, Age Regression",4022,64,83,0,530.0,,MANGA,FINISHED,OTHER,2018-01-01,2022-08-26,Tencent Comics: http://ac.qq.com/Comic/comicInfo/id/622561 | MangaToon: https://mangatoon.mobi/en/detail/713 | Webnovel: https://www.webnovel.com/comic/master-of-spiritual-sword_18640733106590201 | MangaToon: https://mangatoon.mobi/th/amo-de-la-espada-espiritu?content_id=713 | MangaToon: https://mangatoon.mobi/es/amo-de-la-espada-espiritu?content_id=713 | KakaoPage: https://page.kakao.com/home/영검존/51583176 | Naver Series: https://series.naver.com/comic/detail.series?productNo=3462629 | Bilibili: https://manga.bilibili.com/detail/mc24651 | iQIYI: https://www.iqiyi.com/manhua/detail_18yzlrwbfp.html | INKR: https://comics.inkr.com/title/707-spirit-sword-sovereign-season-1 | INKR: https://comics.inkr.com/title/1630-spirit-sword-sovereign-season-2 | WebComics: https://www.webcomicsapp.com/comic/Spirit-Sword-Sovereign/5d524f2262661d7895576e92 | MangaToon: https://mangatoon.mobi/cn/detail/713,"Ling Jian Zun is a action  adventure  fantasy  romance manga. It includes themes like cultivation  male protagonist  full color  time manipulation  swordplay  age regression. Set up and killed by his best buddy, a top-notch swordsman wakes up finding himself turned back into his teenage self.Restarting again from the weakling bullied by all, he is determined to seek revenge and cherish the girl who once sacrificed her life for him. ( Also known as: Master of Spiritual Sword. Also known as: 灵剑尊.",81
2623,Iya na Kao sare nagara Opantsu Misete Moraitai: Yo wa Pantsu ga Mitai zo,,嫌な顔されながらおパンツ見せてもらいたい ～余はパンツが見たいぞ～,"Do you like girls who would show you their panties even if they look disgusted? Super rich, a genius, and good at all kinds of sports. A man who had no interest in the opposite sex had suddenly gained an urge to see panties one day. The maid of his house, a junior high school girl classmate, an onee-san from the bookstore-- He's not going to stop until he sees their panties! A genius who is serious about seeing panties goes full throttle! The “flag” breaking type of comedy doesn’t stop! ""I want to see some panties!"" Note: This is a serialization of the original doujinshi.","Comedy, Ecchi","Primarily Female Cast, Surreal Comedy, Seinen, Female Harem, Maids, Parody, Gods, Time Manipulation, Tsundere, Slapstick, Shrine Maiden, Male Protagonist",4017,70,82,0,,,MANGA,RELEASING,OTHER,2019-05-13,,Tonari no Young Jump: https://tonarinoyj.jp/episode/10834108156655054312 | Nico Nico Seiga: https://seiga.nicovideo.jp/comic/41341,"Iya na Kao sare nagara Opantsu Misete Moraitai: Yo wa Pantsu ga Mitai zo is a comedy  ecchi manga. It includes themes like primarily female cast  surreal comedy  seinen  female harem  maids  parody  gods  time manipulation  tsundere  slapstick  shrine maiden  male protagonist. Do you like girls who would show you their panties even if they look disgusted? Super rich, a genius, and good at all kinds of sports. A man who had no interest in the opposite sex had suddenly gained an urge to see panties one day. The maid of his house, a junior high school girl classmate, an onee-san from the bookstore-- He's not going to stop until he sees their panties! A genius who is serious about seeing panties goes full throttle! The “flag” breaking type of comedy doesn’t stop! ""I want to see some panties!"" Note: This is a serialization of the original doujinshi. Also known as: nan. Also known as: 嫌な顔されながらおパンツ見せてもらいたい ～余はパンツが見たいぞ～.",157
2637,Tang Yin Zai Yi Jie,Don's Adventure in Another World,唐寅在异界,"His body has different abilities, but he has not found any way to use them in the real world. All he can do is to be a professional killer. But at least after going to a different world, where there is only fighting or death in the battlefield its strength will appear differently. His name is Tang Yin...(Source: WebComics)","Action, Fantasy, Romance, Supernatural","Full Color, War, Politics, Male Protagonist, Isekai, Cultivation, Female Harem",4009,65,91,0,394.0,,MANGA,FINISHED,OTHER,2016-01-01,2020-01-01,Tencent Comics: https://ac.qq.com/Comic/comicInfo/id/538969 | WebComics: http://www.webcomicsapp.com/reader.html?mangaId=5b9a3a0546e67872b72795b7&index=1 | MangaToon: https://h5.mangatoon.mobi/contents/detail/1814,"Tang Yin Zai Yi Jie is a action  fantasy  romance  supernatural manga. It includes themes like full color  war  politics  male protagonist  isekai  cultivation  female harem. His body has different abilities, but he has not found any way to use them in the real world. All he can do is to be a professional killer. But at least after going to a different world, where there is only fighting or death in the battlefield its strength will appear differently. His name is Tang Yin...( Also known as: Don's Adventure in Another World. Also known as: 唐寅在异界.",96
2638,Murimsega Cheondaebanneun Sonnyeo Ttari Doeeotda,The Baengri Clan's Unwanted Granddaughter,무림세가 천대받는 손녀 딸이 되었다,"Yeon was just an orphan on the streets when a man claiming to be her father brought her to his family home. But the Baengri estate was a den of vipers that swallowed her whole, and it's only when she's standing at the funeral of the father she never truly understood that she realizes how familiar this story is. When she wakes up six years old again, Yeon knows she can't waste her second chance. This time, she's going to save her father. This time, she's going to live without regrets. (Source: Tapas)","Fantasy, Romance","Female Protagonist, Full Color, Martial Arts, Isekai, Time Manipulation, Wuxia, Tsundere, Bullying, Reincarnation, Swordplay",4006,75,169,0,,,MANGA,RELEASING,OTHER,2023-01-22,,KakaoPage: https://page.kakao.com/content/61001975 | Kakao Webtoon: https://webtoon.kakao.com/content/무림세가-천대받는-손녀-딸이-되었다/3263 | Tapas: https://tapas.io/series/the-baengri-clans-unwanted-granddaughter/info | Kakao Webtoon: https://th.kakaowebtoon.com/content/ฉันคือหลานสาวตระกูลจอมยุทธ์ผู้ถูกเหยียดหยาม/560?tab=episode,"Murimsega Cheondaebanneun Sonnyeo Ttari Doeeotda is a fantasy  romance manga. It includes themes like female protagonist  full color  martial arts  isekai  time manipulation  wuxia  tsundere  bullying  reincarnation  swordplay. Yeon was just an orphan on the streets when a man claiming to be her father brought her to his family home. But the Baengri estate was a den of vipers that swallowed her whole, and it's only when she's standing at the funeral of the father she never truly understood that she realizes how familiar this story is. When she wakes up six years old again, Yeon knows she can't waste her second chance. This time, she's going to save her father. This time, she's going to live without regrets. ( Also known as: The Baengri Clan's Unwanted Granddaughter. Also known as: 무림세가 천대받는 손녀 딸이 되었다.",136
2639,Juingongi Villain,I AM THE VILLAIN,주인공이 빌런임,"""Why did I turn into a character from an adult game?""  The time has come now to take action! Lucius the loser character has transformed into a villain overnight. With his new found vengeance, Lucius will set out to enjoy the action packed, harem fantasy adventure!! (Source: TOPTOON+) Note: Chapter count includes 4 side stories.","Action, Adventure, Comedy, Drama, Fantasy, Hentai, Romance","Anti-Hero, Nudity, Isekai, Female Harem, Sadism, Full Color, Heterosexual, Netori, Threesome, Mermaid, Defloration, Nakadashi, Gender Bending, Elf, Rape, Yuri, Masochism, Human Pet, Nekomimi, Netorare, Fellatio, Cunnilingus, Bondage, Sex Toys, Pirates, Nun, Polyamorous",4005,71,209,0,100.0,,MANGA,FINISHED,OTHER,2022-02-03,2024-02-22,DAYcomics: https://daycomics.com/comic/100978 | TOPTOON: https://toptoon.com/comic/ep_list/hero_villain | TOPTOON: https://toptoon.jp/content/目覚めた先は、エロゲ悪役！？/101841,"Juingongi Villain is a action  adventure  comedy  drama  fantasy  hentai  romance manga. It includes themes like anti-hero  nudity  isekai  female harem  sadism  full color  heterosexual  netori  threesome  mermaid  defloration  nakadashi  gender bending  elf  rape  yuri  masochism  human pet  nekomimi  netorare  fellatio  cunnilingus  bondage  sex toys  pirates  nun  polyamorous. ""Why did I turn into a character from an adult game?"" The time has come now to take action! Lucius the loser character has transformed into a villain overnight. With his new found vengeance, Lucius will set out to enjoy the action packed, harem fantasy adventure!! ( Also known as: I AM THE VILLAIN. Also known as: 주인공이 빌런임.",107
2641,Payback,Payback,Payback,"While other students were preparing to take their CSAT exams, Lee Yu-Han was swept up in an exhilarating lifestyle of crime and debauchery. While working for a loan shark, karma catches up to him when a family member dies from an act of revenge against him. After years of repenting for his sins and trying to turn over a new leaf, he meets a man in the entertainment industry who gives him the opportunity to get his revenge… (Source: Lezhin US, edited) Note: Includes a prologue.","Drama, Romance","Revenge, Acting, Full Color, Male Protagonist, Primarily Adult Cast, Primarily Male Cast, Boys' Love, Work, Prostitution, Masturbation, Nudity, Anal Sex, Handjob, Nakadashi, Bisexual",4004,77,238,0,,,MANGA,RELEASING,OTHER,2021-06-02,,Bomtoon: https://www.bomtoon.com/detail/PAYBACK/ | Lezhin: https://www.lezhinus.com/en/comic/payback_en | Bomtoon: https://www.bomtoon.tw/detail/PAYBACK | Le Bontoon: https://www.bontoon.com/detail/bt_1110100 | Delitoon: https://www.delitoonb.de/detail/dbd_00008 | Comico: https://www.comico.kr/comic/8737 | BeLTOON: https://www.beltoon.com/detail/PAYBACK | Lezhin: https://www.lezhin.jp/ja/comic/payback | Naver Series: https://series.naver.com/comic/detail.series?productNo=8991828 | Boomtoon: https://www.boomtoon.com/detail/PAYBACK | KakaoPage: https://page.kakao.com/content/60706091,"Payback is a drama  romance manga. It includes themes like revenge  acting  full color  male protagonist  primarily adult cast  primarily male cast  boys' love  work  prostitution  masturbation  nudity  anal sex  handjob  nakadashi  bisexual. While other students were preparing to take their CSAT exams, Lee Yu-Han was swept up in an exhilarating lifestyle of crime and debauchery. While working for a loan shark, karma catches up to him when a family member dies from an act of revenge against him. After years of repenting for his sins and trying to turn over a new leaf, he meets a man in the entertainment industry who gives him the opportunity to get his revenge… (",112
2644,Quanqiu Gao Wu,World's Best Martial Artist,全球高武,"Rebirth is just a starting point from reaching the peak. Intruding crypt, the rise of martial arts","Action, Fantasy","Artificial Intelligence, Martial Arts, Full Color, Male Protagonist, Isekai, Age Regression, Alternate Universe, Death Game",3999,69,102,0,,,MANGA,RELEASING,OTHER,2020-03-21,,KuaiKan Manhua: https://www.kuaikanmanhua.com/web/topic/6193/ | Tencent Comics: https://ac.qq.com/Comic/comicInfo/id/646782 | Webnovel: https://www.webnovel.com/comic/world's-best-martial-artist_17190724406942301,"Quanqiu Gao Wu is a action  fantasy manga. It includes themes like artificial intelligence  martial arts  full color  male protagonist  isekai  age regression  alternate universe  death game. Rebirth is just a starting point from reaching the peak. Intruding crypt, the rise of martial arts Also known as: World's Best Martial Artist. Also known as: 全球高武.",55
2655,Sihanbu Agnyeoui Happy Ending,The Villainess's Days are Numbered!,시한부 악녀의 해피엔딩,"I’ve been reborn as Clea Rino, the world’s most wicked villainess! Before her death, Clea made a deal with the Demon King to marry her true love, Isaac Detroi. To get my life back, I must fulfill that contract for just six months. Guess I didn’t read the fine print, because her body is weak. I lose 1 HP with every step! With time ticking, I’m signing over her family’s fortune for Isaac’s hand in marriage. It’s purely business, so why am I catching feelings? Who knew this villainess had a heart? (Source: Tapas) Notes: Chapter count includes 4 side stories","Drama, Fantasy, Romance","Reincarnation, Full Color, Heterosexual, Primarily Adult Cast, Villainess, Female Protagonist, Historical, Isekai, Disability, Slavery, Demons, Yandere",3914,68,65,0,110.0,,MANGA,FINISHED,OTHER,2020-12-04,2023-01-21,KakaoPage: https://page.kakao.com/content/56095545 | Tapas: https://tapas.io/series/the-villainesss-days-are-numbered/info | Delitoon: https://www.delitoon.de/detail/dad_2000168 | Pocket Comics: https://www.pocketcomics.com/comic/11618 | Manta: https://manta.net/en/series/the-dying-villainess-s-path-to-a-happy-ending?seriesId=2830 | Delitoon: https://www.delitoon.com/detail/daf_1000558 | Lezhin: https://www.lezhinus.com/en/comic/dyingvillainess | Tappytoon: https://www.tappytoon.com/en/book/the-dying-villainesss-path-to-a-happy-ending | Bilibili: https://manga.bilibili.com/detail/mc30284 | Piccoma: https://jp.piccoma.com/web/product/64745 | Kakao Webtoon: https://webtoon.kakao.com/content/시한부-악녀의-해피엔딩/2894?tab=episode | Kakao Webtoon: https://th.kakaowebtoon.com/content/แฮปปี้เอนดิ้งของนางร้ายจำกัดเวลา/195?tab=episode | Kakao Webtoon: https://tw.kakaowebtoon.com/content/體弱惡女的幸福任務/232?tab=episode,"Sihanbu Agnyeoui Happy Ending is a drama  fantasy  romance manga. It includes themes like reincarnation  full color  heterosexual  primarily adult cast  villainess  female protagonist  historical  isekai  disability  slavery  demons  yandere. I’ve been reborn as Clea Rino, the world’s most wicked villainess! Before her death, Clea made a deal with the Demon King to marry her true love, Isaac Detroi. To get my life back, I must fulfill that contract for just six months. Guess I didn’t read the fine print, because her body is weak. I lose 1 HP with every step! With time ticking, I’m signing over her family’s fortune for Isaac’s hand in marriage. It’s purely business, so why am I catching feelings? Who knew this villainess had a heart? ( Also known as: The Villainess's Days are Numbered!. Also known as: 시한부 악녀의 해피엔딩.",137
2658,Shinrei Tantei Yakumo,,心霊探偵八雲,"Based on the novel by Kaminaga Manabu. Shinrei Tantei Yakumo (Psychic Detective Yakumo) tells a story about a college student, Saitou Yakumo, who was born with different eye colors. His red left eye gives him the special ability to see ghosts and spirits. He believes ghosts and spirits are bound to earth because of a certain 'cause' and simply eliminating that 'cause' will let those spirits will rest in peace. Being asked for help by Ozawa Haruka, they begin the investigation together.","Horror, Mystery, Romance, Supernatural","Shoujo, Detective, Primarily Adult Cast, Ghost",3911,74,76,0,65.0,14.0,MANGA,FINISHED,OTHER,2009-06-24,2016-06-24,,"Shinrei Tantei Yakumo is a horror  mystery  romance  supernatural manga. It includes themes like shoujo  detective  primarily adult cast  ghost. Based on the novel by Kaminaga Manabu. Shinrei Tantei Yakumo (Psychic Detective Yakumo) tells a story about a college student, Saitou Yakumo, who was born with different eye colors. His red left eye gives him the special ability to see ghosts and spirits. He believes ghosts and spirits are bound to earth because of a certain 'cause' and simply eliminating that 'cause' will let those spirits will rest in peace. Being asked for help by Ozawa Haruka, they begin the investigation together. Also known as: nan. Also known as: 心霊探偵八雲.",110
2666,Kouhi-sama no Ikujiron: 2-dome wa Shippai Itashimasen!,"I'll Raise You Well in This Life, Your Majesty!",皇妃さまの育児論～2度目は失敗いたしません!～,"When Ellisa opens her eyes and sees her young son, Leon, staring at her with eyes full of love and concern, she realizes that, by some miracle, she’s been given a second chance. In her past life, she thought making Leon emperor was the only way to ensure his safety. But if she had known Leon had never wanted the crown, or that laying a crown soaked with the blood of his enemies and beloved ones at his feet would mean he would take his own life before her eyes, she would’ve found another way. In this life, Ellisa is determined to find a way that will ensure both Leon’s survival and happiness. This time, things will be different.(Source: Tappytoon)Note: This work is based on a Korean web novel but is first published in the order Japanese, English, and the Korean version after.",Fantasy,"Family Life, Villainess, Magic, Historical, Kuudere, Full Color, Reincarnation, Female Protagonist, Desert, Politics, Time Manipulation, Josei",3903,70,63,1,120.0,,MANGA,FINISHED,OTHER,2021-10-15,2024-09-17,Tappytoon: https://www.tappytoon.com/en/comics/raise-you-well-in-this-life | KakaoPage: https://page.kakao.com/home?seriesId=58396566 | Kakao Webtoon: https://tw.kakaowebtoon.com/content/重寫皇帝成長史/265,"Kouhi-sama no Ikujiron: 2-dome wa Shippai Itashimasen! is a fantasy manga. It includes themes like family life  villainess  magic  historical  kuudere  full color  reincarnation  female protagonist  desert  politics  time manipulation  josei. When Ellisa opens her eyes and sees her young son, Leon, staring at her with eyes full of love and concern, she realizes that, by some miracle, she’s been given a second chance. In her past life, she thought making Leon emperor was the only way to ensure his safety. But if she had known Leon had never wanted the crown, or that laying a crown soaked with the blood of his enemies and beloved ones at his feet would mean he would take his own life before her eyes, she would’ve found another way. In this life, Ellisa is determined to find a way that will ensure both Leon’s survival and happiness. This time, things will be different.( Also known as: I'll Raise You Well in This Life, Your Majesty!. Also known as: 皇妃さまの育児論～2度目は失敗いたしません!～.",166
